Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
1561360_at,1.1406226600496154,0.34138469856403264,1522.906636628225,0.0,0.08824040329630108,0.2348991287342118
202700_s_at,1.140540098052518,0.34143763603974725,1887.7900777816926,0.0,0.008926920046538247,0.9045338076433135
1555135_at,1.1401879449135424,0.3416634966870067,1281.1919126000082,2.731164266554218e-271,0.07284288596333269,0.32711045694958446
1554797_at,1.140144689201965,0.34169124694376024,1202.7173409532884,2.481221923709225e-254,0.07698556877031104,0.3002751618871463
1559864_at,1.139879894228379,0.34186115833335495,4007.6765216621543,0.0,0.017005828711023775,0.8192647337036775
204600_at,1.1398461036048004,0.34188284513016204,4055.940433625417,0.0,0.19239769610006102,0.00907282408180516
1561619_at,1.139766289850676,0.3419340734165979,2019.0562153312426,0.0,0.12761512908491165,0.08514884782797957
1558044_s_at,1.1392586307598238,0.3422600408953074,2089.7001037660903,0.0,-0.19668982268038537,0.007615483791985435
1565810_at,1.139229769126726,0.34227857954985147,5771.67038655177,0.0,0.03801900119036108,0.6093705469705586
1559508_at,1.1391443577643479,0.34233344589204684,2013.0798713636018,0.0,0.03918672107688833,0.5984171368920832
204934_s_at,1.1390895951271403,0.34236862746461305,754.538283315351,1.2863353321221498e-157,-0.13758287323414523,0.06327194971137091
1562416_at,1.1390817958394885,0.34237363822830214,11804.866595386622,0.0,-0.023086849915122477,0.7563978817108532
1566191_at,1.1390579966107564,0.34238892870421794,4829.122779275316,0.0,-0.042819087212072594,0.5649255729146875
1565949_x_at,1.1389470758943965,0.34246019919287013,651.7637909434101,1.7231560730475065e-135,0.057152937895419115,0.4422013057312838
1558930_at,1.1385174368539903,0.3427363568284552,1155.6284818795896,3.697718627951341e-244,-0.012326590916915129,0.8684601651864027
1561067_at,1.138220266867402,0.34292746015311887,1405.8243745528002,3.115463290535236e-298,-0.07005755623913099,0.3459952518850192
1554415_at,1.138118789542316,0.3429927352357966,1034.2250452577957,6.109571843509933e-218,0.16464944784988303,0.025927386766252752
1561917_at,1.1380912273862565,0.34301046605753843,1696.5511783769366,0.0,0.13397166591963122,0.07059462342330902
1553549_at,1.137593066005348,0.34333104683663546,1719.3940810958004,0.0,0.013123318278593353,0.8600424772197192
1562822_at,1.1373746534892266,0.34347166832281933,2100.2349904413795,0.0,0.14612178339708712,0.0484089104537561
206782_s_at,1.1373464112734184,0.3434898546108111,2959.5460805954617,0.0,-0.09485025295164923,0.201531704642198
1552685_a_at,1.1372131343838168,0.34357568611430817,1577.8088342430628,0.0,0.05639087151413083,0.4483204589077575
1561924_at,1.1371115089232835,0.34364114402248364,1715.5432370674282,0.0,0.08614561468271278,0.24624105388096648
1553232_at,1.13690617006452,0.3437734316480772,3297.215570326294,0.0,0.10205131079006685,0.1692379312082189
1559072_a_at,1.1366295873976453,0.34395167441172053,3201.9893269490917,0.0,-0.17910831514428732,0.015267089425617351
1558905_at,1.1366179478116418,0.3439591769377408,858.1714024647716,5.928823307641025e-180,-0.008784213160551644,0.9060528716255221
1563639_a_at,1.1365186231636313,0.34402320332130865,3769.1210904771015,0.0,0.018056865542268437,0.8083038444902346
1560115_a_at,1.1365057857324627,0.3440314791666943,1780.1320983306896,0.0,0.07065038118485141,0.3419192234300056
1565892_at,1.13619763774894,0.3442301737367554,1143.9226767032485,1.249037763933319e-241,0.07669338775249657,0.30211871125524453
200853_at,1.1361634888549854,0.3442521980234196,53669.41836794293,0.0,0.09398486905682181,0.2056939559938536
1562665_at,1.1361462880966386,0.3442632920086679,1224.3766194504533,5.1835706096665396e-259,0.043286894587654896,0.560678081136223
1563933_a_at,1.136140788140087,0.3442668393728949,687.838343221701,2.9703886305233054e-143,0.06108489051744627,0.41139209502878515
205105_at,1.1361380368910152,0.3442686138843493,4728.5888188820345,0.0,0.09934980329046851,0.1808693930448305
201500_s_at,1.1358548545853673,0.344451296533078,9648.946834806238,0.0,0.27095591700748367,0.0002072990139991169
204943_at,1.1356772300440428,0.3445659182033484,2022.3239666465693,0.0,0.08226954720199545,0.26821876985749243
1553263_at,1.1356748719244218,0.344567440086692,1494.7904993765335,0.0,-0.026206285569697223,0.7247307380959706
1569811_at,1.135639860406196,0.3445900363810688,2075.4273438837477,0.0,0.10023328757675358,0.17700247147493348
1561927_at,1.1354264211777865,0.34472781187310714,2208.220721652371,0.0,0.1369711705239977,0.06446659986320856
206266_at,1.1353926178310252,0.3447496355798141,986.5061801437635,1.2206947306826945e-207,-0.006969638147441761,0.9253962405074266
1570230_at,1.1352006293729557,0.3448736033655442,1824.1386522532628,0.0,0.12117140690072048,0.10226497455691132
200098_s_at,1.135134765179693,0.3449161394206917,9788.991697277925,0.0,-0.046998998969058146,0.5275284275973291
1557522_x_at,1.1350050131075178,0.3449999460451096,2626.296526898025,0.0,0.04943909083155761,0.506291344202526
1566950_at,1.1348894044609321,0.3450746295786781,1267.2301993116696,2.8434248897586457e-268,-0.015976141020687434,0.830037064702832
200971_s_at,1.134845971778067,0.34510269017427936,33389.403028918474,0.0,0.1561077258196013,0.03483501863682438
1560774_at,1.1348228459507577,0.34511763175772536,3872.730523249614,0.0,-0.05168771694171275,0.4871229875330466
1562793_at,1.1347839894434455,0.3451427379534349,2048.648780213955,0.0,0.11437741178131391,0.12313902658139159
206902_s_at,1.1347566543390575,0.3451604006454818,1073.0840855885067,2.487952484057967e-226,-0.16865567432951095,0.022473278417850944
1568663_a_at,1.1347342706346728,0.3451748644452494,1759.255633765071,0.0,0.007775421500570515,0.9168005071383123
