Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
CLEC7A.15,11.832138709196023,2.117546551961472e-13,32.55207970593123,7.414763942744508e-05,0.2341331184290689,0.0014224803715233321
CLEC7A.11,11.832138709196023,2.117546551961472e-13,32.55207970593123,7.414763942744508e-05,0.2341331184290689,0.0014224803715233321
CLEC7A.3,11.832138709196023,2.117546551961472e-13,32.55207970593123,7.414763942744508e-05,0.2341331184290689,0.0014224803715233321
IGSF6,11.617237330991616,3.5759691934204155e-13,19.552349882398303,0.012169059275797856,0.38854767858762734,5.472236441000686e-08
PROM1,11.573026232581144,3.9843481482536515e-13,33.96330021729402,4.125335874788402e-05,-0.35055276597661256,1.1447513559600645e-06
VCAN.3,11.479646259002154,5.008609404996187e-13,23.858189516517523,0.002420654188629771,0.33000099957476586,5.066004987289375e-06
VCAN.1,11.479646259002154,5.008609404996187e-13,23.858189516517523,0.002420654188629771,0.33000099957476586,5.066004987289375e-06
SIRPB1.3,11.255059831272959,8.701879591118857e-13,22.749387194657512,0.0037013545379684645,0.29944065152321897,3.823575133221816e-05
SIRPB1.1,11.255059831272959,8.701879591118857e-13,22.749387194657512,0.0037013545379684645,0.29944065152321897,3.823575133221816e-05
VCAN,11.185381253878605,1.033494978028303e-12,24.57742796562628,0.0018325540410171475,0.3177511902019461,1.1698046612293514e-05
VCAN.2,11.185381253878605,1.033494978028303e-12,24.57742796562628,0.0018325540410171475,0.3177511902019461,1.1698046612293514e-05
IGLL1,10.974421299237006,1.7427297313303187e-12,15.603156934354178,0.048425436664835224,-0.33798473784089245,2.8787399267883144e-06
CD86.3,10.952699269872817,1.839338709475249e-12,16.109685160172344,0.04083681738421573,0.26441536252358383,0.00029800747582550463
CD86.1,10.952699269872817,1.839338709475249e-12,16.109685160172344,0.04083681738421573,0.26441536252358383,0.00029800747582550463
IFI30,10.885548905358927,2.173578560009274e-12,16.789697217517332,0.03237498482325718,0.3500318587931008,1.1903039173753724e-06
LINC01127,10.872397073557785,2.2459053217151937e-12,27.296692703015943,0.0006282252486677621,0.3874806285056192,5.992355867963283e-08
FLJ30901,10.665806473471463,3.760931721125376e-12,17.95726504877432,0.021549168391151913,0.3240767792690301,7.6279305058484715e-06
VNN2,10.142389160621343,1.4047718663765066e-11,22.377097715016195,0.004263166847752833,0.3076240217928422,2.274076136182381e-05
SERPINB2,9.854476718197898,2.920747822745607e-11,24.919421606623754,0.0016041885046428133,0.38086493430679436,1.0446593761435061e-07
SIGLEC16,9.756618718768934,3.7500665048808486e-11,23.21413744243327,0.003099927064810996,0.3138621915586327,1.5143338171623195e-05
CDA,9.734424526940249,3.969100822924068e-11,38.287814941639645,6.660257529895059e-06,0.4084383221997535,9.484356718478125e-09
SGSH,9.648682531069328,4.9437435362510273e-11,17.367620329270697,0.026500770072127634,0.30654105094865625,2.438129005945715e-05
CD14,9.48637578652247,7.500800480784594e-11,36.678287789829206,1.3187434926266452e-05,0.34755973735273,1.4311021449344422e-06
AQP9,9.446354872716164,8.314905867157108e-11,20.55707389219847,0.008421892378205122,0.28339273621666133,0.00010132554725310287
EPB41L3,9.415787991025013,8.996309402042638e-11,46.91981648958337,1.5883120293949987e-07,0.44243176002139734,3.5932493887767265e-10
HNMT.7,9.330488389249862,1.1211206154307735e-10,24.33861852459126,0.00201046135647303,0.403791103118317,1.443258500015363e-08
HNMT.3,9.330488389249862,1.1211206154307735e-10,24.33861852459126,0.00201046135647303,0.403791103118317,1.443258500015363e-08
HNMT.11,9.330488389249862,1.1211206154307735e-10,24.33861852459126,0.00201046135647303,0.403791103118317,1.443258500015363e-08
HNMT.15,9.330488389249862,1.1211206154307735e-10,24.33861852459126,0.00201046135647303,0.403791103118317,1.443258500015363e-08
PTK6.3,9.054880724756917,2.2898646821714425e-10,22.720238836496293,0.0037426228872579482,0.39962312351932067,2.0917963393449256e-08
PTK6.1,9.054880724756917,2.2898646821714425e-10,22.720238836496293,0.0037426228872579482,0.39962312351932067,2.0917963393449256e-08
MMP19.3,9.04217743463049,2.366756762233556e-10,21.69509261188349,0.0055131514421101445,0.36670214323853156,3.296604716254915e-07
MMP19.1,9.04217743463049,2.366756762233556e-10,21.69509261188349,0.0055131514421101445,0.36670214323853156,3.296604716254915e-07
GPBAR1,8.993270858801482,2.6879148151858763e-10,19.55780814839718,0.012144947411291887,0.35695819985687344,7.04415016230024e-07
S100A12,8.85563093403644,3.848372111742816e-10,20.553975666897138,0.00843153182249561,0.32623854132276625,6.576263342881259e-06
CLEC4G,8.70666406526595,5.682266755371721e-10,19.267752349984058,0.01349146309435516,0.3967684281028156,2.6892876635658143e-08
ASGR2,8.643179297469603,6.71155710218806e-10,15.96329270837429,0.04290852966882925,0.3390204474492658,2.6721103618286905e-06
CTSG,8.635976887374676,6.839629627536849e-10,18.352693194166427,0.018732269653850383,0.17668725793391873,0.01672680999367325
S100A9,8.254999360329352,1.8671367573937093e-09,17.17701379723967,0.02831773165291268,0.32666592570854275,6.385329518327878e-06
